,Date,Open,High,Low,Close,Fifty_EMA,Twenty_EMA,Under/Over EMA,One_day_yield,Two_day_yield,Three_day_yield
92,5/14/1962,62.650002,63.310001,61.110001,63.099998,67.5504300851083,65.8242141901806,Under,Down,Down,Down
93,5/15/1962,63.41,64.870003,63.41,64.290001,67.4225701209864,65.67809864825864,Under,Up,Down,Down
94,5/16/1962,64.290001,64.879997,63.82,64.269997,67.29893980251636,65.54399372937687,Under,Up,Up,Up
95,5/17/1962,64.269997,64.410004,63.380001,63.93,67.16682451614317,65.39028004086478,Under,Down,Up,Up
96,5/18/1962,63.93,64.139999,63.290001,63.82,67.03557649590226,65.24072956078243,Under,Down,Down,Up
97,5/21/1962,63.82,64.0,63.209999,63.59,66.90045584900415,65.08351722166029,Under,Down,Down,Down
98,5/22/1962,63.59,63.689999,62.259998,62.34,66.72161444316085,64.82222986721645,Under,Down,Down,Down
99,5/23/1962,62.34,62.419998,60.900002,61.110001,66.50155117088003,64.46868426081488,Under,Down,Down,Down
100,5/24/1962,61.110001,61.790001,60.360001,60.619999,66.27090206613964,64.10214280740394,Under,Down,Down,Down
101,5/25/1962,60.619999,60.98,59.0,59.470001,66.00420006354592,63.66098644479404,Under,Down,Down,Down
102,5/28/1962,59.150002,59.150002,55.419998,55.5,65.59227064928922,62.88374964052794,Under,Down,Down,Down
103,5/29/1962,55.5,58.290001,53.130001,58.080002,65.29767187872886,62.42624986523956,Under,Down,Down,Down
104,5/31/1962,58.799999,60.82,58.799999,59.630001,65.07541027564146,62.159940449502464,Under,Up,Down,Down
105,6/1/1962,59.630001,59.959999,58.52,59.380001,64.85206089228298,61.895184311454614,Under,Up,Up,Up
106,6/4/1962,59.119999,59.119999,57.139999,57.27,64.55472517101698,61.45469056750656,Under,Down,Up,Up
107,6/5/1962,57.27,58.419998,56.330002,57.57,64.28081437999671,61.08472003726784,Under,Down,Down,Down
108,6/6/1962,57.639999,59.169998,57.639999,58.389999,64.0498020121537,60.82807993848043,Under,Up,Down,Down
109,6/7/1962,58.389999,58.900002,58.0,58.400002,63.828241227363364,60.59683442052991,Under,Up,Up,Down
110,6/8/1962,58.400002,58.970001,58.139999,58.450001,63.61732984589814,60.39237409476516,Under,Up,Up,Up
111,6/11/1962,58.450001,58.580002,57.509998,57.82,63.38998357743155,60.14738608573991,Under,Up,Up,Up
112,6/12/1962,57.66,57.66,56.23,56.34,63.11351363321855,59.78477788709801,Under,Down,Down,Down
113,6/13/1962,56.34,56.799999,55.240002,55.5,62.814944471131554,59.37670380261248,Under,Down,Down,Down
114,6/14/1962,55.5,56.0,54.119999,54.330002,62.48220162912639,58.896065535697005,Under,Down,Down,Down
115,6/15/1962,54.330002,55.959999,53.66,55.889999,62.22368387896457,58.60977348467824,Under,Down,Down,Down
116,6/18/1962,55.889999,56.529999,54.970001,55.740002,61.96942184449537,58.336461914708885,Under,Up,Up,Down
117,6/19/1962,55.740002,55.880001,54.98,55.540001,61.71728769373085,58.070132303784234,Under,Down,Up,Up
118,6/20/1962,55.540001,55.919998,54.66,54.779999,61.4452371567218,57.7567862748524,Under,Down,Down,Up
119,6/21/1962,54.779999,54.779999,53.5,53.59,61.13718864077193,57.35994948677122,Under,Down,Down,Down
120,6/22/1962,53.59,53.779999,52.48,52.68,60.80553418427107,56.91424001184063,Under,Down,Down,Down
121,6/25/1962,52.68,52.959999,51.349998,52.450001,60.47786621626044,56.48907439166534,Under,Down,Down,Down
122,6/26/1962,52.450001,53.580002,52.099998,52.32,60.15794989405415,56.09201968769721,Under,Down,Down,Down
123,6/27/1962,52.32,52.830002,51.77,52.599998,59.86155962369909,55.75944619363081,Under,Down,Down,Down
124,6/28/1962,52.98,54.639999,52.98,54.41,59.64777297178932,55.63092750852311,Under,Up,Up,Down
125,6/29/1962,54.41,55.470001,54.200001,54.75,59.45570344348386,55.547029650568525,Under,Up,Up,Up
126,7/2/1962,54.75,56.02,54.470001,55.860001,59.31469550452372,55.57683644575248,Under,Up,Up,Up
127,7/3/1962,55.860001,56.740002,55.57,56.490002,59.20392321022867,55.66380459377605,Under,Up,Up,Up
128,7/5/1962,56.490002,57.099998,56.150002,56.810001,59.11004390786676,55.77296615627357,Under,Up,Up,Up
129,7/6/1962,56.73,56.73,55.639999,56.169998,58.994747989911204,55.81077871281894,Under,Up,Up,Up
130,7/9/1962,56.169998,56.73,55.540001,56.549999,58.89887548050292,55.88118064493142,Under,Down,Down,Up
131,7/10/1962,56.990002,58.360001,56.990002,57.200001,58.83225295185575,56.00678258350938,Under,Up,Down,Up
132,7/11/1962,57.200001,57.950001,56.77,57.73,58.78902734590063,56.170898527937055,Under,Up,Up,Up
133,7/12/1962,57.73,58.669998,57.59,58.029999,58.75926152841433,56.347955715752576,Under,Up,Up,Up
134,7/13/1962,58.029999,58.18,57.23,57.830002,58.722819978280434,56.489102980919,Under,Up,Up,Up
135,7/16/1962,57.830002,58.099998,57.18,57.830002,58.68780750854395,56.61680764940291,Under,Down,Up,Up
136,7/17/1962,57.830002,57.959999,56.68,56.779999,58.612991488601054,56.632349682793105,Under,Equal,Down,Up
137,7/18/1962,56.779999,56.810001,55.860001,56.200001,58.5183644106167,56.59117361776519,Under,Down,Down,Down
138,7/19/1962,56.200001,56.950001,55.959999,56.419998,58.436075531768985,56.57487117797803,Under,Down,Down,Down
139,7/20/1962,56.419998,57.09,56.27,56.810001,58.37230790307216,56.59726449436107,Under,Up,Down,Down
140,7/23/1962,56.810001,57.32,56.529999,56.799999,58.31064873040267,56.616572542517154,Under,Up,Up,Up
141,7/24/1962,56.799999,56.93,56.139999,56.360001,58.23415274097511,56.59213715751552,Under,Down,Up,Up
142,7/25/1962,56.360001,56.669998,55.779999,56.459999,58.164578084466285,56.57955257108548,Under,Down,Down,Down
143,7/26/1962,56.459999,57.18,56.16,56.77,58.10988874782055,56.59769042145829,Under,Up,Down,Down
144,7/27/1962,56.77,57.360001,56.560001,57.200001,58.074206875357,56.65505333370036,Under,Up,Up,Down
145,7/30/1962,57.200001,57.98,57.080002,57.830002,58.0646302135783,56.76695320668128,Under,Up,Up,Up
146,7/31/1962,57.830002,58.580002,57.740002,58.23,58.071115303241896,56.90629099652116,Under,Up,Up,Up
147,8/1/1962,58.23,58.299999,57.509998,57.75,58.05852254625202,56.98664423494771,Under,Up,Up,Up
148,8/2/1962,57.75,58.200001,57.380001,57.98,58.055443230712726,57.081249545905074,Under,Down,Down,Up
149,8/3/1962,57.98,58.32,57.630001,58.119999,58.05797482950831,57.18017806534269,Under,Up,Down,Up
150,8/6/1962,58.119999,58.349998,57.540001,57.75,58.04589738521387,57.234446821024335,Under,Up,Up,Down
151,8/7/1962,57.75,57.810001,57.07,57.360001,58.018999487754506,57.246404361879165,Under,Down,Down,Equal
152,8/8/1962,57.360001,57.639999,56.759998,57.509998,57.999038645097464,57.27150851789067,Under,Down,Down,Down
153,8/9/1962,57.509998,57.880001,57.189999,57.57,57.982213600191685,57.299936278091565,Under,Up,Down,Down
154,8/10/1962,57.57,57.849998,57.16,57.549999,57.96526400802731,57.32375177541618,Under,Up,Up,Down
155,8/13/1962,57.549999,57.900002,57.220001,57.630001,57.95211643908506,57.35291836823369,Under,Down,Up,Up
156,8/14/1962,57.630001,58.43,57.41,58.25,57.963798147356236,57.43835471411619,Under,Up,Up,Up
157,8/15/1962,58.25,59.110001,58.220001,58.66,57.99110018079325,57.55470188420036,Under,Up,Up,Up
158,8/16/1962,58.66,59.110001,58.240002,58.639999,58.01654719331116,57.65806351427652,Under,Up,Up,Up
159,8/17/1962,58.639999,59.240002,58.43,59.009998,58.055506048475436,57.78681917958352,Under,Down,Up,Up
160,8/20/1962,59.009998,59.720001,58.900002,59.369999,58.10705479167248,57.937598210099374,Under,Up,Up,Up
161,8/21/1962,59.369999,59.66,58.900002,59.119999,58.14677809395984,58.050207809137525,Under,Up,Up,Up
162,8/22/1962,59.119999,59.93,58.91,59.779999,58.21082597262808,58.2149498273149,Over,Down,Up,Up
163,8/23/1962,59.779999,60.330002,59.470001,59.700001,58.26922499330934,58.356383272332536,Over,Up,Up,Up
164,8/24/1962,59.700001,59.919998,59.18,59.580002,58.32062801317956,58.472918389253245,Over,Down,Up,Up
165,8/27/1962,59.580002,59.939999,59.240002,59.549999,58.368838640113694,58.575497495038654,Over,Down,Down,Up
166,8/28/1962,59.549999,59.610001,58.66,58.790001,58.38535481108963,58.59592640027307,Over,Down,Down,Down
167,8/29/1962,58.790001,58.959999,58.169998,58.66,58.39612521065474,58.60202864786611,Over,Down,Down,Down
168,8/30/1962,58.66,59.060001,58.389999,58.68,58.40725755533495,58.60945449092648,Over,Down,Down,Down
169,8/31/1962,58.68,59.25,58.450001,59.119999,58.435208200223784,58.658077777504914,Over,Up,Down,Down
170,9/4/1962,59.119999,59.490002,58.439999,58.560001,58.44010203550913,58.64873713202826,Over,Up,Up,Up
171,9/5/1962,58.560001,58.77,57.950001,58.119999,58.427548975293085,58.59838111945414,Over,Down,Down,Down
172,9/6/1962,58.119999,58.599998,57.720001,58.360001,58.424900035085514,58.5756782509347,Over,Down,Down,Down
173,9/7/1962,58.360001,58.900002,58.09,58.380001,58.42313928861157,58.557042322274256,Over,Up,Down,Down
174,9/10/1962,58.380001,58.639999,57.880001,58.450001,58.42419268905818,58.54684791062909,Over,Up,Up,Down
175,9/11/1962,58.450001,58.93,58.169998,58.59,58.4306949365461,58.55095763342632,Over,Up,Up,Up
176,9/12/1962,58.59,59.060001,58.400002,58.84,58.44674611550507,58.57848547786191,Over,Up,Up,Up
177,9/13/1962,58.84,59.18,58.459999,58.700001,58.45667767960291,58.59005838473221,Over,Up,Up,Up
178,9/14/1962,58.700001,59.139999,58.400002,58.889999,58.473670672559656,58.61862415761485,Over,Down,Up,Up
179,9/17/1962,58.889999,59.419998,58.650002,59.080002,58.49744837167496,58.66256490450868,Over,Up,Up,Up
180,9/18/1962,59.080002,59.540001,58.77,59.029999,58.51833271004065,58.6975586278888,Over,Up,Up,Up
181,9/19/1962,59.029999,59.259998,58.59,58.950001,58.53526087827436,58.721600758566055,Over,Down,Up,Up
182,9/20/1962,58.950001,59.290001,58.330002,58.540001,58.535446765400856,58.70430554346453,Over,Down,Down,Up
183,9/21/1962,58.540001,58.639999,57.43,57.689999,58.502291951071406,58.60770492027743,Over,Down,Down,Down
184,9/24/1962,57.450001,57.450001,56.299999,56.630001,58.428868776519586,58.41935216596529,Under,Down,Down,Down
185,9/25/1962,56.630001,57.220001,56.119999,56.959999,58.37126604018549,58.280366150159075,Under,Down,Down,Down
186,9/26/1962,56.959999,57.290001,55.919998,56.150002,58.28415764645273,58.077474326334396,Under,Up,Down,Down
187,9/27/1962,56.150002,56.549999,55.529999,55.77,58.18556322894478,57.8577148666835,Under,Down,Down,Down
188,9/28/1962,55.77,56.580002,55.59,56.27,58.11044310231949,57.70650392699936,Under,Down,Down,Down
189,10/1/1962,56.27,56.310001,55.259998,55.490002,58.007680706150104,57.495408505380375,Under,Up,Up,Down
190,10/2/1962,55.490002,56.459999,55.310001,56.099998,57.93286961963442,57.362512266772725,Under,Down,Down,Down
191,10/3/1962,56.099998,56.709999,55.84,56.16,57.863345320825225,57.247987288984845,Under,Up,Down,Up
192,10/4/1962,56.16,56.84,55.900002,56.700001,57.817723974910514,57.19579811860534,Under,Up,Up,Down
193,10/5/1962,56.700001,57.299999,56.549999,57.07,57.78840146609049,57.18381734540483,Under,Up,Up,Up
194,10/8/1962,57.07,57.41,56.68,57.07,57.76022885957714,57.172977598223426,Under,Up,Up,Up
195,10/9/1962,57.07,57.400002,56.709999,57.200001,57.73825913959372,57.17555125553548,Under,Equal,Up,Up
196,10/10/1962,57.200001,57.830002,56.959999,57.240002,57.718719643923386,57.18168942167496,Under,Up,Up,Up
197,10/11/1962,57.240002,57.459999,56.779999,57.049999,57.692495304946,57.16914747675354,Under,Up,Up,Up
198,10/12/1962,57.049999,57.209999,56.66,56.950001,57.66337788122263,57.14827638372939,Under,Down,Down,Down
199,10/15/1962,56.950001,57.5,56.66,57.27,57.64795129764528,57.1598691090885,Under,Down,Down,Down
200,10/16/1962,57.27,57.630001,56.869999,57.080002,57.625678776168996,57.15226271774674,Under,Up,Up,Up
201,10/17/1962,57.080002,57.23,56.369999,56.889999,57.59682858886825,57.12728522081847,Under,Down,Up,Up
202,10/18/1962,56.889999,57.02,56.18,56.34,57.54754119322636,57.052305675978616,Under,Down,Down,Down
203,10/19/1962,56.34,56.540001,55.34,55.59,57.47077487192337,56.913038468742556,Under,Down,Down,Down
204,10/22/1962,55.48,55.48,54.380001,54.959999,57.372313073024415,56.727034709814696,Under,Down,Down,Down
205,10/23/1962,54.959999,55.189999,53.240002,53.490002,57.22006557996464,56.418745880308535,Under,Down,Down,Down
206,10/24/1962,53.490002,55.439999,52.549999,55.209999,57.14123943957387,56.30362712980296,Under,Down,Down,Down
207,10/25/1962,55.169998,55.169998,53.82,54.689999,57.04511236351215,56.14994826029792,Under,Up,Up,Down
208,10/26/1962,54.689999,54.959999,54.080002,54.540001,56.94687270219795,55.996619949793356,Under,Down,Up,Down
209,10/29/1962,55.34,56.380001,55.34,55.720001,56.89876008642548,55.97027528790828,Under,Down,Down,Up
210,10/30/1962,55.720001,56.84,55.52,56.540001,56.88469110264409,56.02453487953606,Under,Up,Up,Up
211,10/31/1962,56.540001,57.0,56.189999,56.52,56.8703894907757,56.07172203386596,Under,Up,Up,Up
212,11/1/1962,56.52,57.310001,55.900002,57.119999,56.88017809898058,56.17155793540253,Under,Down,Up,Up
213,11/2/1962,57.119999,58.189999,56.779999,57.75,56.914288761765654,56.32188575107848,Under,Up,Up,Up
214,11/5/1962,57.75,58.700001,57.689999,58.349998,56.97059108483367,56.515039298594814,Under,Up,Up,Up
215,11/7/1962,58.349998,59.110001,57.759998,58.709999,57.03880315993824,56.72408307968102,Under,Up,Up,Up
216,11/8/1962,58.709999,59.119999,58.09,58.32,57.089046173274,56.87607516733045,Under,Up,Up,Up
217,11/9/1962,58.32,58.990002,57.900002,58.779999,57.155358048831886,57.05740124663231,Under,Down,Down,Up
218,11/12/1962,58.779999,60.0,58.59,59.59,57.250834203779654,57.29860112790542,Over,Up,Up,Up
219,11/13/1962,59.59,60.060001,59.060001,59.459999,57.33746811735692,57.504448544295386,Over,Up,Up,Up
220,11/14/1962,59.459999,60.41,59.18,60.16,57.448155642166455,57.75735820674345,Over,Down,Up,Up
221,11/15/1962,60.16,60.669998,59.740002,59.970001,57.54705153855208,57.96808609181549,Over,Up,Up,Up
222,11/16/1962,59.970001,60.459999,59.459999,60.16,57.64952010566769,58.17683979735688,Over,Down,Up,Up
223,11/19/1962,60.16,60.419998,59.459999,59.82,57.73463696426896,58.333331245227654,Over,Up,Equal,Up
224,11/20/1962,59.82,60.630001,59.57,60.450001,57.841121828415275,58.53491884092026,Over,Down,Down,Down
225,11/21/1962,60.450001,61.18,60.189999,60.810001,57.957548462595064,58.751593332261194,Over,Up,Up,Up
226,11/23/1962,60.810001,62.029999,60.66,61.540001,58.09803679739526,59.01715596728394,Over,Up,Up,Up
227,11/26/1962,61.540001,62.130001,60.950001,61.360001,58.22595696220329,59.24028406563785,Over,Up,Up,Up
228,11/27/1962,61.360001,62.040001,60.98,61.73,58.36337041466591,59.47739986891044,Over,Down,Up,Up
229,11/28/1962,61.73,62.48,61.509998,62.119999,58.51068918271823,59.729075976633254,Over,Up,Up,Up
230,11/29/1962,62.119999,62.720001,61.689999,62.41,58.663603332415555,59.98440207409675,Over,Up,Up,Up
231,11/30/1962,62.41,62.779999,61.779999,62.259998,58.804638417418865,60.20112549561135,Over,Up,Up,Up
232,12/3/1962,62.259998,62.450001,61.279999,61.939999,58.92759373438283,60.366732496029314,Over,Down,Up,Up
233,12/4/1962,61.939999,62.93,61.77,62.639999,59.073178254603114,60.583234067836045,Over,Down,Down,Down
234,12/5/1962,62.639999,63.5,62.369999,62.389999,59.203249656383385,60.75530691851833,Over,Up,Up,Up
235,12/6/1962,62.389999,63.360001,62.279999,62.93,59.34939672868208,60.962420545326104,Over,Down,Up,Up
236,12/7/1962,62.93,63.43,62.450001,63.060001,59.49491062167495,61.162190112437905,Over,Up,Up,Up
237,12/10/1962,63.060001,63.349998,61.959999,62.27,59.60373765611907,61.26769581601525,Over,Up,Up,Up
238,12/11/1962,62.27,62.580002,61.720001,62.32,59.71025774803597,61.36791526210904,Over,Down,Down,Down
239,12/12/1962,62.32,63.16,62.130001,62.630001,59.82475748340711,61.48811390381294,Over,Up,Down,Down
240,12/13/1962,62.630001,63.07,62.09,62.419998,59.92653162131272,61.576864770116465,Over,Up,Up,Down
241,12/14/1962,62.419998,62.830002,61.959999,62.57,60.030197047927906,61.67144907772442,Over,Down,Up,Up
242,12/17/1962,62.57,62.950001,62.139999,62.369999,60.121953987224856,61.73797764175067,Over,Up,Down,Up
243,12/18/1962,62.369999,62.66,61.779999,62.07,60.19834794851016,61.7695988187268,Over,Down,Down,Down
244,12/19/1962,62.07,62.810001,61.720001,62.580002,60.29174614660781,61.846780074086155,Over,Down,Down,Down
245,12/20/1962,62.580002,63.279999,62.439999,62.82,60.39089335654475,61.93946768607795,Over,Up,Up,Up
246,12/21/1962,62.82,63.130001,62.259998,62.639999,60.47909357785672,62.00618495407053,Over,Up,Up,Up
